*************************************************************
nodes=1 THIN start_size=1024 Imax=65535 xL=-3 yL=-3 xR=3 yR=3
*************************************************************
cores=12 | nx=1024 | ny=16 | 2.693
cores=12 | nx=1024 | ny=18 | 2.761
cores=12 | nx=1024 | ny=20 | 2.771
cores=12 | nx=1024 | ny=22 | 2.929
cores=12 | nx=1024 | ny=24 | 2.741
cores=12 | nx=1024 | ny=26 | 3.057
cores=12 | nx=1024 | ny=28 | 3.114
cores=12 | nx=1024 | ny=30 | 2.786
cores=12 | nx=1024 | ny=32 | 3.218
cores=12 | nx=1024 | ny=34 | 2.827
cores=12 | nx=1024 | ny=36 | 3.147
cores=12 | nx=1024 | ny=38 | 2.842
cores=12 | nx=1024 | ny=40 | 2.852
cores=12 | nx=1024 | ny=42 | 2.861
cores=12 | nx=1024 | ny=44 | 3.249
cores=12 | nx=1024 | ny=46 | 2.955
cores=12 | nx=1024 | ny=48 | 3.090
cores=12 | nx=1024 | ny=50 | 3.085
cores=12 | nx=1024 | ny=52 | 3.176
cores=12 | nx=1024 | ny=54 | 3.245
cores=12 | nx=1024 | ny=56 | 3.141
cores=12 | nx=1024 | ny=58 | 2.978
cores=12 | nx=1024 | ny=60 | 3.153
cores=12 | nx=1024 | ny=62 | 3.344
cores=12 | nx=1024 | ny=64 | 3.265
cores=12 | nx=1024 | ny=66 | 3.367
cores=12 | nx=1024 | ny=68 | 3.366
cores=12 | nx=1024 | ny=70 | 3.184
cores=12 | nx=1024 | ny=72 | 3.223
cores=12 | nx=1024 | ny=74 | 3.231
cores=12 | nx=1024 | ny=76 | 3.237
cores=12 | nx=1024 | ny=78 | 3.354
cores=12 | nx=1024 | ny=80 | 3.304
cores=12 | nx=1024 | ny=82 | 3.306
cores=12 | nx=1024 | ny=84 | 3.361
cores=12 | nx=1024 | ny=86 | 3.393
cores=12 | nx=1024 | ny=88 | 3.440
cores=12 | nx=1024 | ny=90 | 3.506
cores=12 | nx=1024 | ny=92 | 3.436
cores=12 | nx=1024 | ny=94 | 3.480
cores=12 | nx=1024 | ny=96 | 3.507
cores=12 | nx=1024 | ny=98 | 3.428
cores=12 | nx=1024 | ny=100 | 3.584
cores=12 | nx=1024 | ny=102 | 3.567
cores=12 | nx=1024 | ny=104 | 3.706
cores=12 | nx=1024 | ny=106 | 3.692
cores=12 | nx=1024 | ny=108 | 3.524
cores=12 | nx=1024 | ny=110 | 3.745
cores=12 | nx=1024 | ny=112 | 3.669
cores=12 | nx=1024 | ny=114 | 3.742
cores=12 | nx=1024 | ny=116 | 3.710
cores=12 | nx=1024 | ny=118 | 3.799
cores=12 | nx=1024 | ny=120 | 3.798
cores=12 | nx=1024 | ny=122 | 3.882
cores=12 | nx=1024 | ny=124 | 3.737
cores=12 | nx=1024 | ny=126 | 3.815
cores=12 | nx=1024 | ny=128 | 3.794
cores=12 | nx=1024 | ny=130 | 3.844
cores=12 | nx=1024 | ny=132 | 3.909
cores=12 | nx=1024 | ny=134 | 3.895
cores=12 | nx=1024 | ny=136 | 3.976
cores=12 | nx=1024 | ny=138 | 3.901
cores=12 | nx=1024 | ny=140 | 4.012
cores=12 | nx=1024 | ny=142 | 4.023
cores=12 | nx=1024 | ny=144 | 4.023
cores=12 | nx=1024 | ny=146 | 4.059
cores=12 | nx=1024 | ny=148 | 4.029
cores=12 | nx=1024 | ny=150 | 4.137
cores=12 | nx=1024 | ny=152 | 4.123
cores=12 | nx=1024 | ny=154 | 4.140
cores=12 | nx=1024 | ny=156 | 4.208
cores=12 | nx=1024 | ny=158 | 4.284
cores=12 | nx=1024 | ny=160 | 4.246
cores=12 | nx=1024 | ny=162 | 4.282
cores=12 | nx=1024 | ny=164 | 4.385
cores=12 | nx=1024 | ny=166 | 4.308
cores=12 | nx=1024 | ny=168 | 4.310
cores=12 | nx=1024 | ny=170 | 4.357
cores=12 | nx=1024 | ny=172 | 4.417
cores=12 | nx=1024 | ny=174 | 4.428
cores=12 | nx=1024 | ny=176 | 4.470
cores=12 | nx=1024 | ny=178 | 4.431
cores=12 | nx=1024 | ny=180 | 4.444
cores=12 | nx=1024 | ny=182 | 4.463
cores=12 | nx=1024 | ny=184 | 4.487
cores=12 | nx=1024 | ny=186 | 4.502
cores=12 | nx=1024 | ny=188 | 4.627
cores=12 | nx=1024 | ny=190 | 4.585
cores=12 | nx=1024 | ny=192 | 4.570
cores=12 | nx=1024 | ny=194 | 4.551
cores=12 | nx=1024 | ny=196 | 4.519
cores=12 | nx=1024 | ny=198 | 4.715
cores=12 | nx=1024 | ny=200 | 4.792
cores=12 | nx=1024 | ny=202 | 4.900
cores=12 | nx=1024 | ny=204 | 4.668
cores=12 | nx=1024 | ny=206 | 4.702
cores=12 | nx=1024 | ny=208 | 4.900
cores=12 | nx=1024 | ny=210 | 5.039
cores=12 | nx=1024 | ny=212 | 4.865
cores=12 | nx=1024 | ny=214 | 5.048
cores=12 | nx=1024 | ny=216 | 4.657
cores=12 | nx=1024 | ny=218 | 4.939
cores=12 | nx=1024 | ny=220 | 5.178
cores=12 | nx=1024 | ny=222 | 5.113
cores=12 | nx=1024 | ny=224 | 5.000
cores=12 | nx=1024 | ny=226 | 5.079
cores=12 | nx=1024 | ny=228 | 4.940
cores=12 | nx=1024 | ny=230 | 4.764
cores=12 | nx=1024 | ny=232 | 4.835
cores=12 | nx=1024 | ny=234 | 5.155
